UserName,FullName,Date,Hashtags,Tweet,Likes,RTs
,,Jan 24,"#ZainabMurderCase,JusticeForZainab","#ZainabMurderCase
CJP must take notice of @Shahidmasooddr today's program, its very alarming ..
#JusticeForZainab pic.twitter.com/RKLvHt2U8s",,
,,Jan 24,"Dear,JusticeForZainab","Dear Pakistan,
Thank you so much for this outrage.
 #JusticeForZainab",,
,,Jan 24,"According,JusticeForZainab,ZainabMurderCase,تالیاں_تو_بنتی_ہیں","According to postmortem report Zainab was gang raped (as per media) so this is a child porn videos case and must be investigate by FIA/MI/ISI rather than police to unveil the all criminals and mafia behind this brutality.
#JusticeForZainab
#ZainabMurderCase
#تالیاں_تو_بنتی_ہیں",,
,,Jan 24,"Our,JusticeForZainab",Our masajid & madrasas have finally decided to give Quranic lectures on child abuse & protection after the loss of so many innocent lives. #JusticeForZainab pic.twitter.com/zpxH9WqADR,,
,,Jan 24,"#DunyaVideos:,ZainabMurderCase.,JusticeForZainab,Kasur,DunyaNews,DunyaUpdates,ChildAbuse,ShehbazSharifpic.twitter.com/O6pxMCDWaj","#DunyaVideos: Debate between @FrontlineKamran, Iftikhar Ahmad and Tariq Fazal Ch on #ZainabMurderCase.
#JusticeForZainab #Kasur #DunyaNews #DunyaUpdates #ChildAbuse #ShehbazSharifpic.twitter.com/O6pxMCDWaj",,
,,Jan 24,"A,JusticeForZainab,justice_for_modeltown","A polygraph, a polygraph
---A public polygraph test
 For Rana Sana & @CMShehbaz plz.
#JusticeForZainab 
#justice_for_modeltown",,
,,Jan 24,"FatBoy,JusticeForZainab","FatBoy is doing a show on ""Who clapped first in #JusticeForZainab Press Conference""
FatBoy is defending Chotay Mian Sahib for not clapping first
ALSO, FatBoy is featuring not one, not two but THREE @pmln_org parliamentarians on show (and claiming that he intends no bias)
Wow.",,
,,Jan 24,"I,JusticeForZainab","I am in favour of public hanging of this monster, there is nothing more than humanity that is important but when a child is tortured and killed, set an example for other men! #JusticeForZainab",,
,,Jan 24,"For,JusticeForZainab,ZainabMurderCase,HangZainabRapistPublicly,HangChildRapistPublicly","For those who blame women for rape support man's evil act simply. 
Iss qoam ko sahi ghalat ki tameez nahi
#JusticeForZainab 
#ZainabMurderCase #HangZainabRapistPublicly 
#HangChildRapistPublicly",,
,,Jan 23,"Mubarak,,JusticeForZainab,PRforShehbaz","Mubarak, Sir. 
But the presser yesterday could’ve been conducted way better than it was. 
Clumsy presentation, lots of backslapping, and insensitivity towards’s the victim’s father. Very tardy. 
What should’ve been #JusticeForZainab actually became a #PRforShehbaz stunt.https://twitter.com/cmshehbaz/status/956037022304624640 …",,
